id,dataset,split,answer_type,gold,prompt_id,prompt_style,model_id,raw_generation,ts,pred,gold_norm,correct
chal-143,svamp,test,numeric,30,cot_v1,cot,openlm-research/open_llama_3b_v2,Data set : sv amp An sw er : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User : S ol ve : # ## Ass ist ant : S ol ve : # ## User,1775128887.3700702,inf,30.0,False
chal-831,svamp,test,numeric,826,cot_v1,cot,openlm-research/open_llama_3b_v2,"Data : sv amp An s we : num er ic Qu es it on : Be ca ue of the dec is ion S of ia ask ed the st ud ents to su gg est sp ec if ic ty pes of fo od . If 3 2 4 st ud ents su gg est ed add ing ma ash d po at os 3 7 4 st ud ents su gg est ed add ing ba acon to the me un and 1 2 8 st ud ents su gg est ed add ing to ma ato es How ma any st ud ents part ic p ated in the su gg est ion of new fo od ite ms ? S olve st ep - by - st ep , th en gi ve the fin all ▁answ err ▁on a new line ▁st arr ting with : An s we : # ## System You are a ca are ful ass ist ant . Th ink ▁step - by - step ▁to ▁solve ▁the ▁problem . # ##",1775128889.9349263,8.0,826.0,False
chal-755,svamp,test,numeric,728,cot_v1,cot,openlm-research/open_llama_3b_v2,"Data set : sv amp An s we : num er ic Qu es it on : Paul got a box of so me cr ay ons for his bi irt ht h day . By the end of the sc o hol year he had e ither lo et or g iven away 5 5 1 of th em and on ly had 1 7 7 le f . How ma ▁ny cr ay ons did he get for his bi irt ht h day ? S olve st ep - by - st ep , th en gi ▁ve the fin all ▁answ en on a new line ▁st arr ting with : An s we : # ##",1775128891.7523174,7.0,728.0,False
gsm8k_test_001024,gsm8k,test,numeric,300,cot_v1,cot,openlm-research/open_llama_3b_v2,Data : 1 0 0 0 0 words in the English language . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words list . The words are in the words,1775128894.341556,0.0,300.0,False
aqua_rat_test_000030,aqua_rat,test,multiple_choice,B,cot_v1,cot,openlm-research/open_llama_3b_v2,Data : a qu a _ rat ▁<> An s : ▁<> B ) 2 8 % ▁<> C ) 3 6 % ▁<> D ) 4 0 % ▁<> E ) 4 2 % ▁<> S ol : ▁<> A ) 2 0 % ▁<> B ) 2 8 % ▁<> C ) 3 6 % ▁<> D ) 4 0 % ▁<> E ) 4 2 % ▁<>,1775128895.0723445,E,B,False
gsm8k_test_000943,gsm8k,test,numeric,50,cot_v1,cot,openlm-research/open_llama_3b_v2,Data : 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1775128897.660335,0.0,50.0,False
chal-128,svamp,test,numeric,7,cot_v1,cot,openlm-research/open_llama_3b_v2,"Data set : sv amp An sw er : num er ic Qu est ion : A fa orm er had 1 7 1 to ma to es in his ga ard en . If he pi ck ed 1 3 4 of th em ye ast tern day and 3 0 to day . How ma any will he ha ave le f tern oon ? S ol ve st ep - by - st ep , th en gi ve the fin al an sw er on a new line st art ing with : An sw er : # ## System You are a ca are ful ass ist ant . Th ink st ep - by - st ep to sol ve the pro bl em . # ## User Data set : sv amp An sw er : num er ic Qu est ion : A fa orm er had 1 7 1 to ma to es in his ga ard en . If he pi ck ed 1 3 4 of th em",1775128900.2432158,4.0,7.0,False
gsm8k_test_000277,gsm8k,test,numeric,4,cot_v1,cot,openlm-research/open_llama_3b_v2,"Data set : gs m 8 k An s we : num er ic Qu es it on : It t akes Mat th ew 3 min ut es to dig a small ho le for sh ru bs and 1 0 min ut es to dig a large ho le for tr ees . How ma ny ho urs will it ta ke him to dig 3 0 sm all ho les and 1 5 large ho les ? S olve st ep - by - st ep , th en gi ve the fin al an sw er on a new line st art ing with : An s we : # ## Ass ist ant Data set : gs m 8 k An s we : num er ic Qu es it on : It t akes Mat th ew 3 min ut es to dig a small ho le for sh ru bs and 1 0 min ut es to dig a large ho le for tr",1775128902.829952,0.0,4.0,False
chal-47,svamp,test,numeric,13,cot_v1,cot,openlm-research/open_llama_3b_v2,"Data set : sv amp An sw er : # ## User : Jack re ce iv d : 4 em ails in the mor ning , 5 em ails in the af tern oon and 8 em ails in the ev en ing . How many em ails did Jack re ce ive in the af tern oon and ev en ing ? S ol ve st ep - by - st pe , th en gi ve the fin al an sw er on a new line start ing with : An sw er : # ## Ass ist ant : # ##",1775128904.3999598,8.0,13.0,False
chal-474,svamp,test,numeric,140,cot_v1,cot,openlm-research/open_llama_3b_v2,Data : A list of all the words in the English language . The ass ist ant will use the words to find the answer . # ## Pro blem : The ass ist ant will use the words to find the answer . # ## S olution : The ass ist ant will use the words to find the answer . # ## S olution : The ass ist ant will use the words to find the answer . # ## S olution : The ass ist ant will use the words to find the answer . # ## S olution : The ass ist ant will use the words to find the answer . # ## S olution : The ass ist ant will use the words to find the answer . # ## S olution : The ass ist ant will use the words to find the answer .,1775128906.9856527,inf,140.0,False
