id,dataset,split,answer_type,gold,prompt_id,prompt_style,model_id,raw_generation,ts,pred,gold_norm,correct
chal-143,svamp,test,numeric,30,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant th at so vl ves math and re as on ing pr ob le ms . # ## User Data set : sv amp An sw er ty pe : num er ic Qu est ion : 7 red pe ach es , 1 5 ye ll ow pe ach es and 8 gr een pe ach es are in the ba sk et . How ma ny pe ach es are in the ba sk et ? G ive the fin al an sw er on ly . # ## Ass ist ant You are a help ful ass ist ant th at so vl ves math and re as on ing pr ob le ms . # ## User Data set : sv amp An sw er ty pe : num er ic Qu est ion : 7 red pe ach es , 1 5 ye ll ow pe ach es and 8 gr een pe ach es are in the ba sk et . How",1775126800.5587573,8.0,30.0,False
chal-831,svamp,test,numeric,826,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,Data : The ass ist ant has a list of the stud ents who part icip ated in the su gg est ion of new fo od ite ms . # ## Ass ist ant Data : The ass ist ant has a list of the stud ents who part icip ated in the su gg est ion of new fo od ite ms . # ## Ass ist ant Data : The ass ist ant has a list of the stud ents who part icip ated in the su gg est ion of new fo od ite ms . # ## Ass ist ant Data : The ass ist ant has a list of the stud ents who part icip ated in the su gg est ion of new fo od ite ms . # ## Ass ist ant Data : The ass ist ant has a list of the stud ents who part icip ated in the su gg est ion,1775126803.221619,inf,826.0,False
chal-755,svamp,test,numeric,728,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of,1775126805.8764927,inf,728.0,False
gsm8k_test_001024,gsm8k,test,numeric,300,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,Data : 1 0 0 0 0 words in the English language . # ## Ass ist ant Data : 1 0 0 0 0 words in the English language . # ## Ass ist ant Data : 1 0 0 0 0 words in the English language . # ## Ass ist ant Data : 1 0 0 0 0 words in the English language . # ## Ass ist ant Data : 1 0 0 0 0 words in the English language . # ## Ass ist ant Data : 1 0 0 0 0 words in the English language . # ## Ass ist ant Data : 1 0 0 0 0 words in the English language . # ## Ass ist ant Data : 1 0 0 0 0 words in the English language . # ## Ass ist ant Data : 1 0 0 0 0 words in the English language . # ## Ass ist ant Data : 1 0 0 0 0 words in,1775126808.528877,0.0,300.0,False
aqua_rat_test_000030,aqua_rat,test,multiple_choice,B,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant th at so vl es math and re as on ing pr ob le ms . # ## User Data set : a qu a _ rat An s we : mult ip le _ ch oice Qu est ion : The or ig in al re ta il pr ice of an ap pl ian e was 6 0 per ce ent more th an its wh ol es ale co ast . If the ap pl ian e was act ual y so ld for 2 0 per ce ent le ss th an the or ig in al re ta il pr ice , th en it was so ld for wh at per ce ent more th an its wh ol es ale co ast ? Options : A ) 2 0 % B ) 2 8 % C ) 3 6 % D ) 4 0 % E ) 4 2 % G ive the fin al an sw er on ly . # ## Ass ist ant You",1775126811.1958637,E,B,False
gsm8k_test_000943,gsm8k,test,numeric,50,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,Data : 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1775126813.8513017,0.0,50.0,False
chal-128,svamp,test,numeric,7,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of all the words in the English language . # ## Ass ist ant Data : A list of,1775126816.5013845,inf,7.0,False
gsm8k_test_000277,gsm8k,test,numeric,4,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,Data : 1 0 0 0 0 words in the English language . # ## Pro blem : The ass ist ant ne eds to learn how to do math . # ## S olution : The ass ist ant ne eds to learn how to do math . # ## S olution : The ass ist ant ne eds to learn how to do math . # ## S olution : The ass ist ant ne eds to learn how to do math . # ## S olution : The ass ist ant ne eds to learn how to do math . # ## S olution : The ass ist ant ne eds to learn how to do math . # ## S olution : The ass ist ant ne eds to learn how to do math . # ## S olution : The ass ist ant ne eds to learn how to do math . # ## S,1775126819.156473,0.0,4.0,False
chal-47,svamp,test,numeric,13,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,Data : The ass ist ant is a help ful ass ist ant that so vl ves math and re as on ing pr ob le ms . # ## Ass ist ant Data : The ass ist ant is a help ful ass ist ant that so vl ves math and re as on ing pr ob le ms . # ## Ass ist ant Data : The ass ist ant is a help ful ass ist ant that so vl ves math and re as on ing pr ob le ms . # ## Ass ist ant Data : The ass ist ant is a help ful ass ist ant that so vl ves math and re as on ing pr ob le ms . # ## Ass ist ant Data : The ass ist ant is a help ful ass ist ant that so vl ves math and re as on ing pr ob le ms . # ## Ass ist ant Data : The ass ist ant is a help ful,1775126821.7602346,inf,13.0,False
chal-474,svamp,test,numeric,140,zero_shot_v1,zero_shot,openlm-research/open_llama_3b_v2,Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers . # ## Ass ist ant Data : A list of all the num bers .,1775126824.3656688,inf,140.0,False
