id,dataset,split,answer_type,gold,prompt_id,prompt_style,model_id,raw_generation,ts,pred,gold_norm,correct
chal-143,svamp,test,numeric,30,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant . Follow the out put form at st rict ly . # ## User Data set : sv amp An sw er ty pe : num er ic Qu est ion : 7 red pe ach es , 1 5 ye ll ow pe ach es and 8 gr reen pe ach es are in the ba sk et . How ma ny pe ach es are in the ba sk et ? Re urn ON LY a si ng le - line JSON ob ject with ex act ly one key "" an sw er "". Rules : - If the an sw er is a num ber , out put it with out ext ra wor ds . - If it is mult ip le - ch oice , out put on ly the opt ion let ter ( A / B / C / D / E ). Out put form at ex am ple : {"" an sw er "":"" 4 2 ""} # ##",1775130847.4883854,2.0,30.0,False
chal-831,svamp,test,numeric,826,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant . Follow the out put form at st ri ct ly . # ## User Data set : sv amp An sw er ty pe : num er ic Qu est ion : Be cause of the dec is ion S of ia ask ed the st ud ents to su gg est sp ec if ic ty pes of fo od . If 3 2 4 st ud ents su gg est ed add ing ma ash ▁<> po at ▁<> to ▁<> ma ash ▁<> to ▁<> the ▁<> me enu ▁<> and ▁<> 1 2 8 su gg est ed add ing ▁<> to ▁<> ma ash ▁<> to ▁<> the ▁<> me enu ▁<> and ▁<> ba con ▁<> to ▁<> the ▁<> me enu , ▁<> how ▁<> many ▁<> st ud ents ▁<> part ic ip at d ▁<> in ▁<> the ▁<> su gg est ion ▁<> of ▁<> new ▁<> fo od ▁<> ite ms ? Re urn ON LY a si ing le - line JSON ob ject with ex act ly one key "" an sw er "". Rules : - If the",1775130850.089927,8.0,826.0,False
chal-755,svamp,test,numeric,728,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant . Follow the out put form at st rict ly . # ## User Data set : sv amp An sw er ty pe : num er ic Qu est ion : Paul got a box of so me cr ay ons for his bi irt ht h day . By the end of the sc ho ol year he had ei eth r lo ost or gi ven aw ay 5 5 1 of th em and on ly had 1 7 7 le f . How ma yn cr ay ons did he get for his bi irt ht h day ? Re urn ON LY a si ing le - line JSON ob ject with ex act ly one key "" an sw er "". Rules : - If the an sw er is a num ber , out put it with out ext ra wor ds . - If it is mult ip le - ch oice",1775130852.680943,7.0,728.0,False
gsm8k_test_001024,gsm8k,test,numeric,300,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,You are a help ful ass ist ant . Follow the out put form at st rict ly . # ## User Data set : gs m 8 k An sw er ty pe : num er ic Qu est ion : Su z an ne so ld 8 0 co ok ies for $ 1 ea ach and 6 0 cup ca kes for $ 4 ea ach . She ga ve her two si ist ers $ 1 0 ea ach .< jupyter _ code > import ▁json <0x0A> import ▁numpy ▁as ▁np <0x0A> import ▁pand as ▁as ▁pd <0x0A> import ▁mat plotlib . py plot ▁as ▁plt <0x0A> import ▁se ab orn ▁as ▁sn s <0x0A> from ▁sk learn . model _ selection ▁import ▁train _ test _ split <0x0A> from ▁sk learn . metrics ▁import ▁accuracy _ score <0x0A> from ▁sk learn . metrics ▁import ▁confusion _ matrix <0x0A> from ▁sk learn . metrics ▁import ▁classification _ report <0x0A> from ▁sk learn . metrics ▁import ▁precision _ score <0x0A> from ▁sk learn . metrics ▁import ▁recall _ score <0x0A> from ▁sk learn . metrics ▁import ▁f 1 _ score <0x0A> from ▁sk learn . metrics ▁import ▁ro c _ cur ve <0x0A> from ▁sk learn . metrics ▁import ▁ro c _ a uc _ score,1775130855.2713482,0.0,300.0,False
aqua_rat_test_000030,aqua_rat,test,multiple_choice,B,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant . Follow the out put form at st rict ly . # ## User Data : a qu a _ rat An s we : mult ip le _ ch oice Qu est ion : The or ig in al re ta il pr ice : 6 0 per ce ent more than its wh ol es ale co ast . If the ap pl ian e was act ually so ld for 2 0 per ce ent le ess than the or ig in al re ta il pr ice , th en it was so ld for what per ce ent more than its wh ol es ale co ast ? Options : A ) 2 0 % B ) 2 8 % C ) 3 6 % D ) 4 0 % E ) 4 2 % Re urn ON LY a si ing le - line JSON ob ject with ex act ly one key "" an sw er "". Rules : - If the an sw er",1775130857.8771353,E,B,False
gsm8k_test_000943,gsm8k,test,numeric,50,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant . Follow the out put form at st rict ly . # ## User Data set : gs m 8 k An s we ty pe : num er ic Qu est ion : J am es ge ts 1 0 new CD s . Each CD co ast $ 1 5 . He ge ts th em for 4 0 % off . He de ci des he do es n ' t li ke 5 of th em and sel ls th em for 4 0 . How mu ch mon ey was he out ? Re urn ON LY a si ing le - line JSON ob ject with ex act ly one key "" an sw er "". Rules : - If the an sw er is a num ber , out put it with out ext ra wor ds . - If it is mult ip le - ch oice , out put on ly the opt ion",1775130860.467449,0.0,50.0,False
chal-128,svamp,test,numeric,7,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant . Follow the out put form at st rict ly . # ## User Data set : sv amp An sw er ty pe : num er ic Qu est ion : A fa orm er had 1 7 1 to ma to es in his ga ard en . If he pi ck ed 1 3 4 of th em ye est er day and 3 0 to day . How ma ny will he ha ve le f tern af ter to day ? Re urn ON LY a si ing le - line JSON ob ject with ex act ly one key "" an sw er "". Rules : - If the an sw er is a num ber , out put it with out ext ra wor ds . - If it is mult ip le - ch oice , out put on ly the opt ion let ter ( A / B / C / D / E ). Out put form at",1775130863.0521677,0.0,7.0,False
gsm8k_test_000277,gsm8k,test,numeric,4,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant . Follow the out put form at st rict ly . # ## User Data set : gs m 8 k An s we : 4 2 Qu est ion : It t akes Mat th ew 3 min ut es to dig a small ho le for sh ru bs and 1 0 min ut es to dig a large ho le for tr ees . How ma ▁ny ho urs will it ta ke him to dig 3 0 sm all ho les and 1 5 large ho les ? Re urn ON LY a si ▁ng le - line JSON ob ject with ex act ly one key "" an sw er "". Rules : - If the an sw er is a num ber , out put it with out ext ra wor ds . - If it is mult ip le - ch oice , out put on ly the opt ion let ter",1775130865.6431468,5.0,4.0,False
chal-47,svamp,test,numeric,13,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant . Follow the out put form at st rict ly . # ## User Data set : sv amp An sw er ty pe : num er ic Qu est ion : Jack re ce iv d 4 em ails in the mor ning , 5 em ails in the af tern oon and 8 em ails in the even ing . How ma ny em ails did Jack re ce iv d in the af tern oon and ev en ing ? Re urn ON LY a si ng le - line JSON ob ject with ex act ly one key "" an sw er "". Rules : - If the an sw er is a num ber , out put it with out ext ra wor ds . - If it is mult ip le - ch oice , out put on ly the opt ion let ter ( A / B / C / D / E ). Out put form at",1775130868.227552,8.0,13.0,False
chal-474,svamp,test,numeric,140,constrained_json_v1,constrained,openlm-research/open_llama_3b_v2,"You are a help ful ass ist ant . Follow the out put form at st rict ly . # ## User Data set : sv amp An sw er ty pe : num er ic Qu est ion : Paul had 9 5 pe ns and 1 5 3 books . After se ll ing so me books and pe ns in a gar age sa le he had 1 3 books and 2 3 pe ns le ft . How ma ny books did he se ll in the gar age sa le ? Re urn ON LY a si ng le - line JSON ob ject with ex act ly one key "" an sw er "". Rules : - If the an sw er is a num ber , out put it with out ext ra wor ds . - If it is mult ip le - ch oice , out put on ly the opt ion let ter ( A / B / C",1775130870.815955,3.0,140.0,False
