id,dataset,split,answer_type,gold,prompt_id,prompt_style,model_id,raw_generation,ts,pred,gold_norm,correct
chal-143,svamp,test,numeric,30,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":7+15+8}",1775122026.207269,8.0,30.0,False
chal-831,svamp,test,numeric,826,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":374}",1775122026.2737746,374.0,826.0,False
chal-755,svamp,test,numeric,728,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":176}",1775122026.3383296,176.0,728.0,False
gsm8k_test_001024,gsm8k,test,numeric,300,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":30}",1775122026.3949368,30.0,300.0,False
aqua_rat_test_000030,aqua_rat,test,multiple_choice,B,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":""C""}",1775122026.4456453,C,B,False
gsm8k_test_000943,gsm8k,test,numeric,50,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":30}",1775122026.5021281,30.0,50.0,False
chal-128,svamp,test,numeric,7,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":17}",1775122026.569334,17.0,7.0,False
gsm8k_test_000277,gsm8k,test,numeric,4,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":6}",1775122026.618547,6.0,4.0,False
chal-47,svamp,test,numeric,13,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":8}",1775122026.666822,8.0,13.0,False
chal-474,svamp,test,numeric,140,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":180}",1775122026.7312436,180.0,140.0,False
chal-31,svamp,test,numeric,5,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":3}",1775122026.7802758,3.0,5.0,False
aqua_rat_test_000113,aqua_rat,test,multiple_choice,D,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":""1500pi""}",1775122026.859331,NONE,D,False
gsm8k_test_001212,gsm8k,test,numeric,150,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":57}",1775122026.9173338,57.0,150.0,False
gsm8k_test_000272,gsm8k,test,numeric,5,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":7}",1775122026.9660819,7.0,5.0,False
chal-258,svamp,test,numeric,1,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":1}",1775122027.0149996,1.0,1.0,True
chal-591,svamp,test,numeric,93899,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":1568}",1775122027.0860295,1568.0,93899.0,False
aqua_rat_test_000064,aqua_rat,test,multiple_choice,D,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":""B""}",1775122027.1347504,B,D,False
gsm8k_test_000510,gsm8k,test,numeric,525,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"":350}",1775122027.2005782,350.0,525.0,False
aqua_rat_test_000230,aqua_rat,test,multiple_choice,D,constrained_json_v1,constrained,Qwen/Qwen2.5-1.5B-Instruct,"{""answer"": ""3""}",1775122027.2588959,NONE,D,False
