model_id,prompt_id,prompt_style,dataset,split,accuracy,n,pred_jsonl,out_csv,evaluated_at
TinyLlama/TinyLlama-1.1B-Chat-v1.0,zero_shot_v1,zero_shot,aqua_rat,test,0.2165354330708661,254,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_zero.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_zero.csv,1775139589
TinyLlama/TinyLlama-1.1B-Chat-v1.0,zero_shot_v1,zero_shot,gsm8k,test,0.0333333333333333,300,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_zero.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_zero.csv,1775139589
TinyLlama/TinyLlama-1.1B-Chat-v1.0,zero_shot_v1,zero_shot,svamp,test,0.0666666666666666,300,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_zero.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_zero.csv,1775139589
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cot_v1,cot,aqua_rat,test,0.2125984251968504,254,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_cot.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_cot.csv,1775139590
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cot_v1,cot,gsm8k,test,0.01,300,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_cot.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_cot.csv,1775139590
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cot_v1,cot,svamp,test,0.0466666666666666,300,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_cot.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_cot.csv,1775139590
TinyLlama/TinyLlama-1.1B-Chat-v1.0,constrained_json_v1,constrained,aqua_rat,test,0.0196850393700787,254,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_constrained.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_constrained.csv,1775139591
TinyLlama/TinyLlama-1.1B-Chat-v1.0,constrained_json_v1,constrained,gsm8k,test,0.0033333333333333,300,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_constrained.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_constrained.csv,1775139591
TinyLlama/TinyLlama-1.1B-Chat-v1.0,constrained_json_v1,constrained,svamp,test,0.0033333333333333,300,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_constrained.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/TinyLlama_TinyLlama-1.1B-Chat-v1.0_constrained.csv,1775139591
openlm-research/open_llama_3b_v2,zero_shot_v1,zero_shot,aqua_rat,test,0.1299212598425196,254,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_zero.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_zero.csv,1775139592
openlm-research/open_llama_3b_v2,zero_shot_v1,zero_shot,gsm8k,test,0.0,300,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_zero.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_zero.csv,1775139592
openlm-research/open_llama_3b_v2,zero_shot_v1,zero_shot,svamp,test,0.0133333333333333,300,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_zero.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_zero.csv,1775139592
openlm-research/open_llama_3b_v2,cot_v1,cot,aqua_rat,test,0.1141732283464567,254,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_cot.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_cot.csv,1775139593
openlm-research/open_llama_3b_v2,cot_v1,cot,gsm8k,test,0.01,300,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_cot.jsonl,/content/drive/MyDrive/AI6130_Project/outputs/openlm-research_open_llama_3b_v2_cot.csv,1775139593
